#    R         total       AA         AB         BB   
 0.000000    0.000000   0.000000   0.000000   0.000000  
 0.002000    0.000000   0.000000   0.000000   0.000000  
 0.004000    0.000000   0.000000   0.000000   0.000000  
 0.006000    0.000000   0.000000   0.000000   0.000000  
 0.008000    0.000000   0.000000   0.000000   0.000000  
 0.010000    0.000000   0.000000   0.000000   0.000000  
 0.012000    0.000000   0.000000   0.000000   0.000000  
 0.014000    0.000000   0.000000   0.000000   0.000000  
 0.015999    0.000000   0.000000   0.000000   0.000000  
 0.017999    0.000000   0.000000   0.000000   0.000000  
 0.019999    0.000000   0.000000   0.000000   0.000000  
 0.021999    0.000000   0.000000   0.000000   0.000000  
 0.023999    0.000000   0.000000   0.000000   0.000000  
 0.025999    0.000000   0.000000   0.000000   0.000000  
 0.027999    0.000000   0.000000   0.000000   0.000000  
 0.029999    0.000000   0.000000   0.000000   0.000000  
 0.031999    0.000000   0.000000   0.000000   0.000000  
 0.033999    0.000000   0.000000   0.000000   0.000000  
 0.035999    0.000000   0.000000   0.000000   0.000000  
 0.037999    0.000000   0.000000   0.000000   0.000000  
 0.039999    0.000000   0.000000   0.000000   0.000000  
 0.041999    0.000000   0.000000   0.000000   0.000000  
 0.043999    0.000000   0.000000   0.000000   0.000000  
 0.045999    0.000000   0.000000   0.000000   0.000000  
 0.047998    0.000000   0.000000   0.000000   0.000000  
 0.049998    0.000000   0.000000   0.000000   0.000000  
 0.051998    0.000000   0.000000   0.000000   0.000000  
 0.053998    0.000000   0.000000   0.000000   0.000000  
 0.055998    0.000000   0.000000   0.000000   0.000000  
 0.057998    0.000000   0.000000   0.000000   0.000000  
 0.059998    0.000000   0.000000   0.000000   0.000000  
 0.061998    0.000000   0.000000   0.000000   0.000000  
 0.063998    0.000000   0.000000   0.000000   0.000000  
 0.065998    0.000000   0.000000   0.000000   0.000000  
 0.067998    0.000000   0.000000   0.000000   0.000000  
 0.069998    0.000000   0.000000   0.000000   0.000000  
 0.071998    0.000000   0.000000   0.000000   0.000000  
 0.073998    0.000000   0.000000   0.000000   0.000000  
 0.075998    0.000000   0.000000   0.000000   0.000000  
 0.077998    0.000000   0.000000   0.000000   0.000000  
 0.079997    0.000000   0.000000   0.000000   0.000000  
 0.081997    0.000000   0.000000   0.000000   0.000000  
 0.083997    0.000000   0.000000   0.000000   0.000000  
 0.085997    0.000000   0.000000   0.000000   0.000000  
 0.087997    0.000000   0.000000   0.000000   0.000000  
 0.089997    0.000000   0.000000   0.000000   0.000000  
 0.091997    0.000000   0.000000   0.000000   0.000000  
 0.093997    0.000000   0.000000   0.000000   0.000000  
 0.095997    0.000000   0.000000   0.000000   0.000000  
 0.097997    0.000000   0.000000   0.000000   0.000000  
 0.099997    0.000000   0.000000   0.000000   0.000000  
 0.101997    0.000000   0.000000   0.000000   0.000000  
 0.103997    0.000000   0.000000   0.000000   0.000000  
 0.105997    0.000000   0.000000   0.000000   0.000000  
 0.107997    0.000000   0.000000   0.000000   0.000000  
 0.109997    0.000000   0.000000   0.000000   0.000000  
 0.111996    0.000000   0.000000   0.000000   0.000000  
 0.113996    0.000000   0.000000   0.000000   0.000000  
 0.115996    0.000000   0.000000   0.000000   0.000000  
 0.117996    0.000000   0.000000   0.000000   0.000000  
 0.119996    0.000000   0.000000   0.000000   0.000000  
 0.121996    0.000000   0.000000   0.000000   0.000000  
 0.123996    0.000000   0.000000   0.000000   0.000000  
 0.125996    0.000000   0.000000   0.000000   0.000000  
 0.127996    0.000000   0.000000   0.000000   0.000000  
 0.129996    0.000000   0.000000   0.000000   0.000000  
 0.131996    0.000000   0.000000   0.000000   0.000000  
 0.133996    0.000000   0.000000   0.000000   0.000000  
 0.135996    0.000000   0.000000   0.000000   0.000000  
 0.137996    0.000000   0.000000   0.000000   0.000000  
 0.139996    0.000000   0.000000   0.000000   0.000000  
 0.141996    0.000000   0.000000   0.000000   0.000000  
 0.143995    0.000000   0.000000   0.000000   0.000000  
 0.145995    0.000000   0.000000   0.000000   0.000000  
 0.147995    0.000000   0.000000   0.000000   0.000000  
 0.149995    0.000000   0.000000   0.000000   0.000000  
 0.151995    0.000000   0.000000   0.000000   0.000000  
 0.153995    0.000000   0.000000   0.000000   0.000000  
 0.155995    0.000000   0.000000   0.000000   0.000000  
 0.157995    0.000000   0.000000   0.000000   0.000000  
 0.159995    0.000000   0.000000   0.000000   0.000000  
 0.161995    0.000000   0.000000   0.000000   0.000000  
 0.163995    0.000000   0.000000   0.000000   0.000000  
 0.165995    0.000000   0.000000   0.000000   0.000000  
 0.167995    0.000000   0.000000   0.000000   0.000000  
 0.169995    0.000000   0.000000   0.000000   0.000000  
 0.171995    0.000000   0.000000   0.000000   0.000000  
 0.173995    0.000000   0.000000   0.000000   0.000000  
 0.175994    0.000000   0.000000   0.000000   0.000000  
 0.177994    0.000000   0.000000   0.000000   0.000000  
 0.179994    0.000000   0.000000   0.000000   0.000000  
 0.181994    0.000000   0.000000   0.000000   0.000000  
 0.183994    0.000000   0.000000   0.000000   0.000000  
 0.185994    0.000000   0.000000   0.000000   0.000000  
 0.187994    0.000000   0.000000   0.000000   0.000000  
 0.189994    0.000000   0.000000   0.000000   0.000000  
 0.191994    0.000000   0.000000   0.000000   0.000000  
 0.193994    0.000000   0.000000   0.000000   0.000000  
 0.195994    0.000000   0.000000   0.000000   0.000000  
 0.197994    0.000000   0.000000   0.000000   0.000000  
 0.199994    0.000000   0.000000   0.000000   0.000000  
 0.201994    0.000000   0.000000   0.000000   0.000000  
 0.203994    0.000000   0.000000   0.000000   0.000000  
 0.205994    0.000000   0.000000   0.000000   0.000000  
 0.207993    0.000000   0.000000   0.000000   0.000000  
 0.209993    0.000000   0.000000   0.000000   0.000000  
 0.211993    0.000000   0.000000   0.000000   0.000000  
 0.213993    0.000000   0.000000   0.000000   0.000000  
 0.215993    0.000000   0.000000   0.000000   0.000000  
 0.217993    0.000000   0.000000   0.000000   0.000000  
 0.219993    0.000000   0.000000   0.000000   0.000000  
 0.221993    0.000000   0.000000   0.000000   0.000000  
 0.223993    0.000000   0.000000   0.000000   0.000000  
 0.225993    0.000000   0.000000   0.000000   0.000000  
 0.227993    0.000000   0.000000   0.000000   0.000000  
 0.229993    0.000000   0.000000   0.000000   0.000000  
 0.231993    0.000000   0.000000   0.000000   0.000000  
 0.233993    0.000000   0.000000   0.000000   0.000000  
 0.235993    0.000000   0.000000   0.000000   0.000000  
 0.237993    0.000000   0.000000   0.000000   0.000000  
 0.239992    0.000000   0.000000   0.000000   0.000000  
 0.241992    0.000000   0.000000   0.000000   0.000000  
 0.243992    0.000000   0.000000   0.000000   0.000000  
 0.245992    0.000000   0.000000   0.000000   0.000000  
 0.247992    0.000000   0.000000   0.000000   0.000000  
 0.249992    0.000000   0.000000   0.000000   0.000000  
 0.251992    0.000000   0.000000   0.000000   0.000000  
 0.253992    0.000000   0.000000   0.000000   0.000000  
 0.255992    0.000000   0.000000   0.000000   0.000000  
 0.257992    0.000000   0.000000   0.000000   0.000000  
 0.259992    0.000000   0.000000   0.000000   0.000000  
 0.261992    0.000000   0.000000   0.000000   0.000000  
 0.263992    0.000000   0.000000   0.000000   0.000000  
 0.265992    0.000000   0.000000   0.000000   0.000000  
 0.267992    0.000000   0.000000   0.000000   0.000000  
 0.269992    0.000000   0.000000   0.000000   0.000000  
 0.271991    0.000000   0.000000   0.000000   0.000000  
 0.273991    0.000000   0.000000   0.000000   0.000000  
 0.275991    0.000000   0.000000   0.000000   0.000000  
 0.277991    0.000000   0.000000   0.000000   0.000000  
 0.279991    0.000000   0.000000   0.000000   0.000000  
 0.281991    0.000000   0.000000   0.000000   0.000000  
 0.283991    0.000000   0.000000   0.000000   0.000000  
 0.285991    0.000000   0.000000   0.000000   0.000000  
 0.287991    0.000000   0.000000   0.000000   0.000000  
 0.289991    0.000000   0.000000   0.000000   0.000000  
 0.291991    0.000000   0.000000   0.000000   0.000000  
 0.293991    0.000000   0.000000   0.000000   0.000000  
 0.295991    0.000000   0.000000   0.000000   0.000000  
 0.297991    0.000000   0.000000   0.000000   0.000000  
 0.299991    0.000000   0.000000   0.000000   0.000000  
 0.301991    0.000000   0.000000   0.000000   0.000000  
 0.303990    0.000000   0.000000   0.000000   0.000000  
 0.305990    0.000000   0.000000   0.000000   0.000000  
 0.307990    0.000000   0.000000   0.000000   0.000000  
 0.309990    0.000000   0.000000   0.000000   0.000000  
 0.311990    0.000000   0.000000   0.000000   0.000000  
 0.313990    0.000000   0.000000   0.000000   0.000000  
 0.315990    0.000000   0.000000   0.000000   0.000000  
 0.317990    0.000000   0.000000   0.000000   0.000000  
 0.319990    0.000000   0.000000   0.000000   0.000000  
